key	comment	en-US	de-DE	fr	pt	ja	ko	zh-Hans	zh-Hant
Hello	Standard greeting	Hello	Hallo	Bonjour	Alô	こんにちは	안녕하세요	你好	你好
example string 1	Comment 1	Hello 1	Hallo 1	Bonjour 1	Alô 1	こんにちは 1	안녕하세요 1	你好 1	你好 1
example string 2	Comment 2	Hello 2	Hallo 2	Bonjour 2	Alô 2	こんにちは 2	안녕하세요 2	你好 2	你好 2
example string 3	Comment 3	Hello 3	Hallo 3	Bonjour 3	Alô 3	こんにちは 3	안녕하세요 3	你好 3	你好 3
example string 4	Comment 4	Hello 4	Hallo 4	Bonjour 4	Alô 4	こんにちは 4	안녕하세요 4	你好 4	你好 4
example string 5	Comment 5	Hello 5	Hallo 5	Bonjour 5	Alô 5	こんにちは 5	안녕하세요 5	你好 5	你好 5
example string 6	Comment 6	Hello 6	Hallo 6	Bonjour 6	Alô 6	こんにちは 6	안녕하세요 6	你好 6	你好 6
example string 7	Comment 7	Hello 7	Hallo 7	Bonjour 7	Alô 7	こんにちは 7	안녕하세요 7	你好 7	你好 7
example string 8	Comment 8	Hello 8	Hallo 8	Bonjour 8	Alô 8	こんにちは 8	안녕하세요 8	你好 8	你好 8
example string 9	Comment 9	Hello 9	Hallo 9	Bonjour 9	Alô 9	こんにちは 9	안녕하세요 9	你好 9	你好 9
example string 10	Comment 10	Hello 10	Hallo 10	Bonjour 10	Alô 10	こんにちは 10	안녕하세요 10	你好 10	你好 10
example string 11	Comment 11	Hello 11	Hallo 11	Bonjour 11	Alô 11	こんにちは 11	안녕하세요 11	你好 11	你好 11
example string 12	Comment 12	Hello 12	Hallo 12	Bonjour 12	Alô 12	こんにちは 12	안녕하세요 12	你好 12	你好 12
example string 13	Comment 13	Hello 13	Hallo 13	Bonjour 13	Alô 13	こんにちは 13	안녕하세요 13	你好 13	你好 13
example string 14	Comment 14	Hello 14	Hallo 14	Bonjour 14	Alô 14	こんにちは 14	안녕하세요 14	你好 14	你好 14
example string 15	Comment 15	Hello 15	Hallo 15	Bonjour 15	Alô 15	こんにちは 15	안녕하세요 15	你好 15	你好 15
example string 16	Comment 16	Hello 16	Hallo 16	Bonjour 16	Alô 16	こんにちは 16	안녕하세요 16	你好 16	你好 16
example string 17	Comment 17	Hello 17	Hallo 17	Bonjour 17	Alô 17	こんにちは 17	안녕하세요 17	你好 17	你好 17
example string 18	Comment 18	Hello 18	Hallo 18	Bonjour 18	Alô 18	こんにちは 18	안녕하세요 18	你好 18	你好 18
example string 19	Comment 19	Hello 19	Hallo 19	Bonjour 19	Alô 19	こんにちは 19	안녕하세요 19	你好 19	你好 19
example string 20	Comment 20	Hello 20	Hallo 20	Bonjour 20	Alô 20	こんにちは 20	안녕하세요 20	你好 20	你好 20
